date,chat_name,chat_id,sender_id,username,text
2025-02-01T22:40:19,💬 Data Practicum Chat,1379846874,[],[],
2025-02-02T21:59:34,💬 Data Practicum Chat,1379846874,[],[],
2025-02-03T11:28:38,💬 Data Practicum Chat,1379846874,user312724902,Olga Varavina,"Всем большой привет! Приглашаю на свой уютный канал Диванные данные. Присаживайтесь поудобнее, обсудим вкатывание (или скатывание) в аналитику, прохождение собесов и многое другое. https://t.me/Divan_data"
2025-02-03T11:52:20,💬 Data Practicum Chat,1379846874,user1349934990,Илья,А у тебя когда будет свой канал про аналитику?
2025-02-03T11:52:37,💬 Data Practicum Chat,1379846874,user1349934990,Илья,Будешь туда голосовухи пятиминутные постить
2025-02-03T11:55:09,💬 Data Practicum Chat,1379846874,user60031833,Sergey,"Потому что сделаны так, будто устарели уже лет на цать, особенно кажется так по поводу ошибки с дизайном времен xp. Но новый логотип мне все равно нравится)"
2025-02-03T11:56:57,💬 Data Practicum Chat,1379846874,user60031833,Sergey,Подкаст?)
2025-02-03T11:57:17,💬 Data Practicum Chat,1379846874,user1349934990,Илья,"Не, это не так раздражает"
2025-02-03T11:57:36,💬 Data Practicum Chat,1379846874,user1349934990,Илья,"Нужны голосовуки с эээ, нууу, и 10 секундными паузами"
2025-02-03T11:58:06,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,"Звонили из ада, просили передать что ждут на мастер-класс"
2025-02-03T11:59:48,💬 Data Practicum Chat,1379846874,user334733842,Лиличка,"Ты хотел сказать ""ждут мастер-класс""?"
2025-02-03T11:59:53,💬 Data Practicum Chat,1379846874,user100277931,Ваивода Кекзог,"Их сделали, чтобы понравится человеку, которому отчитываются по созданию стикеров)) конструктивная критика: вот вы бы сами стали их использовать на постоянку?) тут же надо смотреть с позиции пользователя. Если бы они были с котиками, то залетели бы сильно лучше."
2025-02-03T12:02:55,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,"Благодарствую, ещё не проснулся"
2025-02-03T12:03:41,💬 Data Practicum Chat,1379846874,user334733842,Лиличка,Боже теперь и я в этом рейтинге и тебе спасибо
2025-02-03T12:04:18,💬 Data Practicum Chat,1379846874,user295904416,Andrey Novikov,зря конечно
2025-02-03T12:04:32,💬 Data Practicum Chat,1379846874,user430619742,Victoria,начала борьбу за призы)
2025-02-03T12:04:34,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,До топ10 там далеко... Ну и ребята пока не убивают конкурентов
2025-02-03T12:05:52,💬 Data Practicum Chat,1379846874,user60031833,Sergey,Спасибо)
2025-02-03T12:06:56,💬 Data Practicum Chat,1379846874,user334733842,Лиличка,"Не стоит благодарности, я хочу жить"
2025-02-03T12:10:16,💬 Data Practicum Chat,1379846874,user60031833,Sergey,/toprep@yndxcbot
2025-02-03T12:10:29,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,"Спасибо, что пока не в топе!"
2025-02-03T12:10:36,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,Ну блин
2025-02-03T12:10:42,💬 Data Practicum Chat,1379846874,user947139537,Ilya Plotnikov,"Спасибо, что топ скинул"
2025-02-03T12:12:19,💬 Data Practicum Chat,1379846874,user334733842,Лиличка,И тебе спасибо
2025-02-03T12:12:27,💬 Data Practicum Chat,1379846874,user334733842,Лиличка,Спасибо за заботу
2025-02-03T12:14:45,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,"Надо сделать пост голосовалку, посмотреть, есть ли потребность."
2025-02-03T12:15:23,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,"Ну а что, думаешь мало таких, кто мои голосовухи 5ти минутные слушать будет?)))"
2025-02-03T12:15:36,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,Ещё и про аналитику))
2025-02-03T12:15:56,💬 Data Practicum Chat,1379846874,user234467651,Aleksey Voronin,ASMR практически
2025-02-03T12:16:12,💬 Data Practicum Chat,1379846874,user1349934990,Илья,"Нет, поэтому и удивлен, что ещё нет канала"
2025-02-03T12:16:13,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,
2025-02-03T12:17:25,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,"Окрепну немного как аналитик, и обязательно исправлю такую несправедливость)"
2025-02-03T12:17:54,💬 Data Practicum Chat,1379846874,user1349934990,Илья,Отбрось свой синдром самозванца
2025-02-03T12:18:10,💬 Data Practicum Chat,1379846874,user1349934990,Илья,
2025-02-03T12:20:00,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,"Ну а какой толк в этом канале, если ты все равно не слушаешь мои голосовухи?"
2025-02-03T12:20:07,💬 Data Practicum Chat,1379846874,user317277992,Ksenia,Начинай уже сейчас!
2025-02-03T12:20:32,💬 Data Practicum Chat,1379846874,user168336377,Мариян Умагалова,Вы понимаете на что толкаете меня?)
